Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,40926 | To encourage Kajal Kumari to continue her education | 0.85
,,,,,,40931 | To motivate Riya Kumari to study further and help her pass her matriculation examination | 0.85
,,,,,,40933 | To empower Kajal Kumari to continue her education despite poverty and failure in matriculation | 0.85
,,,,,,40935 | To convince Khushboo Kumari and her mother to get her admitted and complete her further studies | 0.85
,,,,,,41009 | To educate Durga Kumari and her parents about the importance of education | 0.85
,,,,,,28573 | To educate Mamta Kumari despite her father | 0.85
,,,,,,16284 | To educate Anita Kumari and improve her life | 0.85
,,,,,,15087 | To help Nikki Kumari understand the importance of education and attend school regularly | 0.85
,,,,,,41058 | To encourage and support Soni Kumari in pursuing her education despite financial constraints and lack of motivation | 0.85
,,,,,,41111 | To enroll Riya Kumari in school by obtaining her birth certificate | 0.85
,,,,,,41121 | To get Aryan Kumar admitted to school | 0.85
,,,,,,41122 | To get Aryan Kumar admitted to school | 0.85
,,,,,,41159 | To ensure Sapna Kumari attends school by explaining the importance of education to her parents | 0.85
,,,,,,28577 | To encourage Pooja Kumari to continue her studies after she had dropped out due to poor financial condition and academic performance | 0.85
,,,,,,41208 | To motivate Phool Kumari Devi and her daughter-in-law Karishma Kumari to understand the importance of education | 0.85
,,,,,,41209 | To help Asha Kumari get back to school after she dropped out due to financial constraints | 0.85
,,,,,,41210 | To improve Sunita's education | 0.85
,,,,,,41217 | To help Sunita get admitted to school by obtaining her birth certificate | 0.85
,,,,,,41223 | To educate Anjali Kumari about the importance of education | 0.85
,,,,,,41274 | To enroll Anjali Kumari in school | 0.85
,,,,,,40522 | To educate Savita Kumari about the importance of education and encourage her to pursue her studies | 0.85
,,,,,,40524 | To empower Preeti Kumari and her family by providing access to education and overcoming the barrier of lack of certificates | 0.85
,,,,,,40530 | To continue Nisha Kumari's education | 0.85
,,,,,,41293 | To educate Kunti Kumari till 12th class | 0.85
,,,,,,41297 | To convince Anjali Kumari's parents of the importance of education and encourage her to continue her studies. | 0.85
,,,,,,40542 | To get Sunita Kumari admitted in Kasturba Vidyalaya | 0.85
,,,,,,41302 | To ensure Pooja Kumari resumes her studies and completes her education | 0.85
,,,,,,40546 | To support Pooja Kumari in pursuing her further studies | 0.85
,,,,,,40550 | To help Preeti Kumari get education and empower her community | 0.85
,,,,,,40553 | To help Sonali Kumari continue her education by enrolling her in Kasturba Vidyalaya | 0.85
,,,,,,41315 | To enroll Nitya Kumari in class one | 0.85
,,,,,,40557 | To educate Kajal Kumari and her family about the importance of education | 0.85
,,,,,,40558 | To help Pushpa Kumari resume her studies after failing in matriculation | 0.85
,,,,,,41320 | To enroll Avshita Kumari in school by making her parents aware of the importance of education | 0.85
,,,,,,41383 | To enroll Madhuri in school and promote education in the Majhi community | 0.85
,,,,,,"41384 | To enroll Anushka Kumari, a 7-year-old girl from a Maji community, in school and promote education in her community | 0.85"
,,,,,,41389 | To enroll Munni Kumari in school and promote education in the Musahar community | 0.85
,,,,,,41412 | To enroll Sunaina Kumari back in school and improve her future prospects | 0.85
,,,,,,41415 | To educate Manchana Kumari and ensure she has a better future | 0.85
,,,,,,41434 | To motivate Poonam Kumari to pursue education and pass the matriculation examination | 0.85
,,,,,,41446 | To enroll Madhuri Kumari in school | 0.85
,,,,,,41455 | To support Sudhaa Kumaris education and empower her through community involvement. | 0.85
,,,,,,41481 | To inspire Mala Kumari to resume her studies and understand the importance of education | 0.85
,,,,,,41494 | To educate Sanwali Kumari and other children in the community despite poverty | 0.85
,,,,,,41515 | To enroll Sukriti Kumari in school | 0.85
,,,,,,28628 | To educate Madhu Kumari and other children in the village about the importance of education | 0.85
,,,,,,48924 | To enroll Sonakshi Kumari in school and create a conducive environment for studies in her community | 0.85
,,,,,,48957 | To enroll Neetu Kumari in school and ensure she attends daily | 0.85
,,,,,,49008 | To empower Soni Kumari to pursue her education despite financial constraints | 0.85
,,,,,,28590 | To encourage Priya Kumari to return to school and emphasize the importance of education | 0.85
,,,,,,28631 | To educate Anu Kumari and other children in the village about the importance of education | 0.85
,,,,,,16480 | To educate Asha Kumari and improve the financial condition of her family | 0.85
,,,,,,15419 | To make Rohi Kumari aware about the importance of studies and encourage her to continue her education | 0.85
,,,,,,28711 | To motivate Anjali Kumari to attend school regularly and improve her studies | 0.85
,,,,,,4114 | To empower Soni Kumari to join Bihar Police by convincing her parents and providing support | 0.85
,,,,,,4056 | To educate Archana Kumari and postpone her marriage | 0.85
,,,,,,28963 | To re-enroll Pikal Kumari in school after she dropped out due to illness | 0.85
,,,,,,28776 | To help Pinky Kumari continue her education despite household chores and financial hardship | 0.85
,,,,,,15020 | To encourage Rabita Kumari to continue her education and inspire other teenagers in the village to do the same | 0.85
,,,,,,15043 | To encourage Sujit Kumari to continue her education | 0.85
,,,,,,15421 | To encourage Amala Kumari to attend school and receive an education | 0.85
,,,,,,15065 | To encourage Anu Kumari to pursue her education and become independent | 0.85
,,,,,,15094 | To encourage Nikki Kumari to attend school and help her parents understand the importance of education | 0.85
,,,,,,15093 | To encourage Anjali Kumari to continue her education | 0.85
,,,,,,15124 | To educate Hemant Kumari and other children in the village | 0.85
,,,,,,15173 | To help Anjali Kumari's parents understand the importance of education | 0.85
,,,,,,15163 | To help Anshu Kumari continue her education | 0.85
,,,,,,15172 | To educate Anjali Kumari | 0.85
,,,,,,15174 | To convince Usha Kumari to continue her studies | 0.85
,,,,,,15169 | To convince Alka Kumari to return to school by opening a bank account for her | 0.85
,,,,,,15176 | To convince Anjali's parents to let her continue her education beyond 8th standard | 0.85
,,,,,,15194 | To provide education to Kranti Kumari and ensure she attends school every day | 0.85
,,,,,,28802 | To help Pinky Kumari go to school | 0.85
,,,,,,15252 | To continue Anjali Kumari's education | 0.85
,,,,,,15021 | To encourage Neha Kumari to continue her education by motivating her parents and providing support | 0.85
,,,,,,28809 | To educate Pinky Kumari till Intermediate | 0.85
,,,,,,15476 | To persuade Muskan Kumari to continue her education | 0.85
,,,,,,15057 | To educate Sanjana Kumari and help her complete her studies | 0.85
,,,,,,15066 | To educate Kusum Kumari and her mother about the importance of education | 0.85
,,,,,,15067 | To motivate Baby Kumari to continue her education and understand its importance for her future | 0.85
,,,,,,15149 | To educate Nisha Kumari who had to leave her studies after eighth grade due to financial constraints and her advanced age. | 0.85
,,,,,,15126 | To encourage Nidhi Kumari to attend school and help her parents understand the importance of education | 0.85
,,,,,,15159 | To empower Reshma Kumari to pursue her education and overcome the obstacles that were preventing her from doing so | 0.85
,,,,,,15157 | To re-enroll Suman Kumari in school after her name was removed due to her temporary stay at her maternal home | 0.85
,,,,,,15177 | To ensure Supriya Kumari attends school regularly and understands the importance of education | 0.85
,,,,,,15224 | To support Chandni Kumari in continuing her education after a month-long absence from school due to health issues | 0.85
,,,,,,15232 | To encourage Lakshmi Kumari to continue her education | 0.85
,,,,,,15238 | To empower Muskan Kumari to continue her studies despite her parents' financial constraints | 0.85
,,,,,,15327 | To enroll Kajal Kumari in school and ensure she attends regularly | 0.85
,,,,,,15335 | To get Asha Kumari admitted in 9th standard | 0.85
,,,,,,15064 | To educate Anu Kumari about the importance of education | 0.85
,,,,,,4152 | To help Shivani continue her education | 0.85
,,,,,,4004 | To help Divya Kumari continue her education beyond 8th standard | 0.85
,,,,,,15353 | To inspire Rani Kumari to continue her education and understand its importance for her future | 0.85
,,,,,,15355 | To encourage Richa Kumari to attend school and support her education | 0.85
,,,,,,4397 | To help Sita Kumari continue her education despite household responsibilities | 0.85
,,,,,,28998 | To help Anita Kumari resume her studies after failing in matriculation by providing her with coaching and convincing her parents of the importance of education | 0.85
,,,,,,16511 | To support Amrita Kumari in continuing her education despite her family's financial struggles | 0.85
,,,,,,15158 | To encourage Pooja Kumari to continue her education | 0.85
,,,,,,15180 | To help Anjali attend school by convincing her parents of the importance of education | 0.85
,,,,,,4109 | To empower Deepa Kumari through education and make her aware of her rights | 0.85
,,,,,,15280 | To educate Preeti Kumari and her community about the benefits of government schools over private schools | 0.85
,,,,,,29005 | To educate Sneha Kumari at least till 12th grade | 0.85
,,,,,,15304 | To support Ritu Kumari in continuing her education despite financial constraints | 0.85
,,,,,,15318 | To educate Diwan Kumar and make him aware of the importance of education | 0.85
,,,,,,15323 | To help Kavita Kumari attend school regularly by resolving the issue with her age and admission | 0.85
,,,,,,15321 | To help Komal Kumari continue her education after missing school for a month due to health issues | 0.85
,,,,,,29099 | To educate Khushboo Kumari till the intermediate level | 0.85
,,,,,,15341 | To encourage and support Kavita Kumari in re-attempting her matriculation exam and pursuing further studies | 0.85
,,,,,,15340 | To get Mala Kumari enrolled in class 6 | 0.85
,,,,,,15346 | To help Shivani Kumari attend school despite her mother's illness | 0.85
,,,,,,15349 | To help Megha Kumari return to school and continue her education | 0.85
,,,,,,15348 | To educate Roshni Kumari further by enrolling her in Kasturba Vidyalaya | 0.85
,,,,,,15358 | To support Rajni Kumari in continuing her education despite poverty | 0.85
,,,,,,3976 | To help Baby Kumari get admitted to school and continue her education | 0.85
,,,,,,28847 | To educate Shakuntala Kumari and empower her through education | 0.85
,,,,,,15420 | To help Sanju Kumari develop interest in studies and pursue her education | 0.85
,,,,,,15448 | To help Komal Kumari understand the importance of education and encourage her to attend school | 0.85
,,,,,,15457 | To encourage Rupali Kumari to attend school by educating her parents about the importance of education | 0.85
,,,,,,15481 | To help Shivani Kumari continue her education | 0.85
,,,,,,15272 | Helping Babita Kumari continue her education despite health issues | 0.85
,,,,,,29105 | To motivate Soni Kumari to complete her 12th education | 0.85
,,,,,,15668 | To educate Sonam Kumari and make her understand the importance of education | 0.85
,,,,,,15683 | To educate Priyanshu Kumari and her parents about the importance of education and encourage her to return to school | 0.85
,,,,,,15689 | To ensure Kanchan Kumari continues her education | 0.85
,,,,,,28884 | To send Chandni Kumari to school and ensure she receives an education | 0.85
,,,,,,16251 | To empower Indu Kumari through education and help her overcome financial poverty | 0.85
,,,,,,16266 | To help Kavita Kumari continue her education | 0.85
,,,,,,16305 | To educate Viranti Kumari and help her complete her studies | 0.85
,,,,,,4070 | To empower Sudha Kumari through education and postpone her marriage | 0.85
,,,,,,29035 | To help Sunita Kumari continue her studies | 0.85
,,,,,,15380 | To encourage Muskan Kumari and Kajal Kumari to continue their education despite initial reluctance and financial difficulties | 0.85
,,,,,,3986 | To enroll Khushboo Kumari in 10th grade despite financial constraints | 0.85
,,,,,,29267 | To help Khushi Kumari get enrolled in school by obtaining a birth certificate | 0.85
,,,,,,3964 | To help Nishi Kumari get admission | 0.85
,,,,,,29038 | To encourage Anu Kumari to continue her studies | 0.85
,,,,,,15755 | To help Kusum Kumari return to school after dropping out due to her father | 0.85
,,,,,,16045 | To educate Radha Kumari till 12th standard | 0.85
,,,,,,14906 | To educate Sirishti Kumari despite financial poverty | 0.85
,,,,,,4228 | To educate Ragini Kumari and ensure she receives her rightful reservations and opportunities despite being a child bride and having a disability | 0.85
,,,,,,15373 | To encourage Soni Kumari to attend school and tuition | 0.85
,,,,,,15418 | To empower Nishu Kumari and her family by highlighting the importance of education and addressing the issue of poverty | 0.85
,,,,,,15417 | To empower Nidhi Kumari to continue her education despite poverty | 0.85
,,,,,,15724 | To educate Poonam Kumari and her parents about the importance of education | 0.85
,,,,,,15042 | To encourage Mamta Kumari to attend school regularly | 0.85
,,,,,,16225 | To educate Urmila Kumari by collecting donations | 0.85
,,,,,,16299 | To support Pooja in pursuing her higher education | 0.85
,,,,,,15243 | To convince Alka Kumari's parents of the importance of education and encourage her to continue studying | 0.85
,,,,,,15262 | To encourage Chandni Kumari to continue her education | 0.85
,,,,,,4076 | To help Priyanka Kumari achieve her dream of becoming a police officer by supporting her education and overcoming obstacles | 0.85
,,,,,,4154 | To educate Kosmi Kumari and make her parents understand the importance of education | 0.85
,,,,,,16591 | To help Khushboo Kumari return to school after a 6-month absence due to her mother's injury | 0.85
,,,,,,15175 | To encourage Anjali Kumari to continue her education and create a better future for herself | 0.85
,,,,,,28465 | To educate Amita Kumari further | 0.85
,,,,,,28475 | To help Pooja Kumari continue her education by obtaining a transfer certificate (TC) despite her father’s ill health. | 0.85
,,,,,,28941 | To motivate Punita Kumari to continue her studies after she had left them 4 years ago | 0.85
,,,,,,28479 | To provide education to Nisha Kumari and make her self-dependent | 0.85
,,,,,,28942 | To encourage Punita Kumari to continue her studies and provide her with a supportive environment to do so. | 0.85
,,,,,,28480 | To support Meera Kumari in pursuing her education | 0.85
,,,,,,29367 | To help Vika Kumari continue her education and become a police officer | 0.85
,,,,,,29373 | To convince Khushi Kumari's parents of the importance of education for their daughter's future | 0.85
,,,,,,29400 | To encourage Priyanka Kumari to continue her education | 0.85
,,,,,,29448 | To enroll Raju Kumar in school and obtain necessary documents | 0.85
,,,,,,29447 | To help Raj Babu get a birth certificate and enroll in school | 0.85
,,,,,,29458 | To send Divya Kumari to school regularly | 0.85
,,,,,,40449 | To help Pooja Kumari attend school despite her family's financial struggles | 0.85
,,,,,,40476 | To enroll Manisha Kumari in school after 1 year of absence | 0.85
,,,,,,15455 | To educate Roshni Kumari and make her self-dependent | 0.85
,,,,,,40430 | To support Shivani Kumari in completing her education after the death of her parents | 0.85
,,,,,,40470 | To support Pooja Kumari in continuing her education despite being engaged and facing failure in matriculation | 0.85
,,,,,,40479 | To convince Seema Kumari's parents to let her continue her studies and to provide her with the necessary support to do so. | 0.85
,,,,,,40484 | To educate Pinky Kumari and other children in the village | 0.85
,,,,,,40433 | To encourage Goldie Kumari to resume her education | 0.85
,,,,,,40437 | To educate Pallavi Kumari and improve her financial situation | 0.85
,,,,,,40445 | To encourage Durga Kumari to pursue further education | 0.85
,,,,,,40436 | To encourage Aarti Kumari to pursue her education further | 0.85
acf7e485-76b1-4490-902d-3e3aa66f45b3,Strengthening School Mental Health Services,"This theme encompasses objectives that seek to increase the availability of qualified mental health professionals, such as counselors and psychologists, within school settings and to deliver direct mental health support and interventions to students, thereby addressing service gaps and promoting overall student well‑being.","mental health,schools,counselors,psychologists,student support,staffing,well‑being",Draft,148,15201 | To improve mental health support in schools | 0.85
,,,,,,15789 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29175 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29176 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29177 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29074 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29075 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29076 | To address the lack of mental health specialists in schools | 0.85
,,,,,,29077 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29078 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,28767 | To ensure the mental health and well-being of students by advocating for the appointment of counselors or psychologists in schools | 0.85
,,,,,,28768 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.85
,,,,,,29079 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29080 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,28777 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,28778 | To address the lack of mental health specialists in schools and provide support for students | 0.85
,,,,,,29081 | To provide mental health support to students in schools by appointing counselors or psychologists | 0.85
,,,,,,28780 | To improve mental health support in schools by hiring counselors or psychologists | 0.85
,,,,,,29082 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15852 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,28781 | To address the lack of mental health specialists in schools and provide support to children | 0.85
,,,,,,28782 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29083 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,28783 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,28784 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,28788 | To address the lack of mental health specialists in schools and ensure the well-being of students | 0.85
,,,,,,29084 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29085 | To address the lack of mental health specialists in schools | 0.85
,,,,,,29087 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29088 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15710 | To address the lack of mental health specialists in schools and promote women's leadership in education | 0.85
,,,,,,15714 | To address the lack of mental health specialists in schools and provide support for students | 0.85
,,,,,,15715 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15781 | To address the lack of mental health specialists in schools | 0.85
,,,,,,15780 | To address the lack of mental health specialists in schools | 0.85
,,,,,,15847 | To raise awareness about the importance of mental health in schools and to advocate for the appointment of counselors or psychologists. | 0.85
,,,,,,15858 | To ensure the mental health and well-being of students by having mental health specialists in schools | 0.85
,,,,,,15854 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15875 | To improve mental health support in schools by appointing counselors or psychologists | 0.85
,,,,,,3284 | To improve children's mental health | 0.85
,,,,,,15788 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15774 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15698 | To address the lack of mental health specialists in schools by petitioning the government for support | 0.85
,,,,,,15705 | To address the lack of mental health specialists in schools by submitting a petition to the government and the Principal Secretary of the School Education and Literacy Department | 0.85
,,,,,,15703 | To prioritize children's mental health | 0.85
,,,,,,15707 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.85
,,,,,,15711 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.85
,,,,,,15716 | To improve mental health support for students by advocating for the appointment of counselors or psychologists in schools | 0.85
,,,,,,15712 | To address the lack of mental health specialists in schools and ensure students receive proper support. | 0.85
,,,,,,15736 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15719 | To address the lack of mental health specialists in schools by petitioning the government and the Principal Secretary of the School Education and Literacy Department | 0.85
,,,,,,15739 | To address the lack of mental health specialists in schools | 0.85
,,,,,,15732 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.85
,,,,,,15752 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.85
,,,,,,15733 | To improve mental health support in schools by appointing counselors or psychologists | 0.85
,,,,,,15731 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15749 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.85
,,,,,,15762 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15769 | To address the lack of mental health specialists in schools by advocating for policy change and community engagement. | 0.85
,,,,,,15763 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,"15751 | To address the lack of mental health specialists in schools, a petition was submitted to the government to appoint counselors or psychologists for the mental health of children. | 0.85"
,,,,,,15770 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15766 | To address the lack of mental health specialists in schools | 0.85
,,,,,,"15773 | To address the lack of mental health specialists in schools, a petition letter was submitted to the government and Honorable Madhu Bangarappa | 0.85"
,,,,,,15799 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15802 | To address the lack of mental health specialists in schools | 0.85
,,,,,,15791 | To address the lack of mental health specialists in schools and promote community involvement in education | 0.85
,,,,,,15798 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.85
,,,,,,15840 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15806 | To address the lack of mental health specialists in schools | 0.85
,,,,,,15839 | To provide mental health support to students in schools | 0.85
,,,,,,15843 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15841 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15849 | To raise awareness about the importance of mental health in schools and to ensure that children have access to mental health specialists. | 0.85
,,,,,,15861 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15868 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15870 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15885 | To address the lack of mental health specialists in schools by advocating for their appointment | 0.85
,,,,,,15862 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15863 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15856 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15880 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15881 | To improve mental health support for students by advocating for the appointment of counselors or psychologists in schools | 0.85
,,,,,,15871 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15876 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15884 | To address the lack of mental health specialists in schools and provide adequate support to students | 0.85
,,,,,,15886 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists | 0.85
,,,,,,29037 | To address the lack of mental health specialists in schools and provide support for students | 0.85
,,,,,,29040 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15717 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15796 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15718 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29041 | To address the lack of mental health specialists in schools by advocating for their appointment | 0.85
,,,,,,29042 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29043 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29044 | To address the lack of mental health specialists in schools | 0.85
,,,,,,29168 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29045 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15709 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.85
,,,,,,15748 | To address the lack of mental health specialists in schools and ensure students receive proper support | 0.85
,,,,,,15706 | To improve mental health support in schools by appointing counselors or psychologists | 0.85
,,,,,,15708 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15790 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15750 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15777 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15778 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,"15764 | To address the lack of mental health specialists in schools, we aimed to raise awareness and petition for change. | 0.85"
,,,,,,15800 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15772 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15804 | To address the lack of mental health specialists in schools | 0.85
,,,,,,15853 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15864 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15795 | To address the lack of mental health specialists in schools by advocating for the appointment of counselors or psychologists. | 0.85
,,,,,,15859 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15887 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15888 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,16083 | To provide mental health support to children in schools by appointing counselors or psychologists | 0.85
,,,,,,16084 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29046 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,15767 | To improve mental health support in schools by appointing counselors or psychologists | 0.85
,,,,,,29047 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29050 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29169 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29051 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29170 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29171 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29172 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29173 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29174 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29355 | To provide mental health support to students in schools | 0.85
,,,,,,29356 | To address the lack of mental health specialists in schools and provide necessary support to students | 0.85
,,,,,,29358 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29357 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29359 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29360 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29361 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29362 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,29363 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32706 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32747 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32722 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32702 | To address the lack of mental health specialists in schools and provide students with necessary support | 0.85
,,,,,,32728 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32736 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32741 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32717 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32734 | To address the lack of mental health specialists in schools and provide support to students | 0.85
,,,,,,32697 | To address the lack of mental health specialists in schools and provide support to students | 0.85
b5923920-0cb1-41ae-9f82-0b1708a130b9,Enhancing Child Helpline 1098 Awareness in Karnataka Schools,"This theme captures objectives that aim to increase knowledge of the Child Helpline 1098 service among students, staff, and families in government and aided schools throughout Karnataka, emphasizing child protection, safety, and the availability of support mechanisms. It includes activities that raise awareness of child safety issues and promote the helpline as a key resource for safeguarding children's rights within the educational context.","Child Helpline 1098,school awareness,child protection,Karnataka education,child safety,student empowerment",Draft,66,"29241 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka, ensuring children have access to support and protection. | 0.85"
,,,,,,29240 | To create awareness about Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29236 | To raise awareness about Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29238 | To raise awareness about child safety and the importance of the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29234 | To increase awareness about Child Helpline 1098 among students in Karnataka schools | 0.85
,,,,,,29231 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29062 | To create awareness about Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29064 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29065 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29066 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29067 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29068 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29071 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29072 | To raise awareness about child safety and the importance of the Child Helpline 1098 among students in Karnataka | 0.85
,,,,,,29073 | To improve education in D B Kuppe by creating awareness about the Child Helpline 1098 | 0.85
,,,,,,29139 | To raise awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29140 | To create awareness about the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29141 | To raise awareness about the Child Helpline 1098 among students in Karnataka schools | 0.85
,,,,,,29228 | To raise awareness about child safety and the importance of the Child Helpline 1098 in all government and aided schools in Karnataka | 0.85
,,,,,,29207 | To strengthen child safety and protection in schools in Karnataka by writing a request letter to the Commissioner of Social Welfare Department | 0.85
,,,,,,29143 | To raise awareness about the Child Helpline 1098 among students in Karnataka schools | 0.85
